storage_id,server_id,type,size_gb,iops,target_service
stg-0478,srv-0207,block,128,2300,Premium SSD P10
stg-0479,srv-0207,block,85.1,5000,Ultra Disk
stg-0480,srv-0208,block,128,2300,Premium SSD P10
stg-0481,srv-0208,block,338.5,1100,Ultra Disk
stg-0482,srv-0208,block,286.5,2300,Premium SSD P20
stg-0483,srv-0209,block,128,500,Premium SSD P10
stg-0484,srv-0210,block,128,500,Premium SSD P10
stg-0485,srv-0210,block,91.3,500,Premium SSD P20
stg-0486,srv-0210,block,100.0,5000,Standard SSD E20
stg-0487,srv-0211,block,128,500,Premium SSD P10
stg-0488,srv-0211,block,155.0,1100,Premium SSD v2
stg-0489,srv-0212,block,128,2300,Premium SSD P10
stg-0490,srv-0212,block,378.0,2300,Premium SSD v2
stg-0491,srv-0213,block,128,1100,Premium SSD P10
stg-0492,srv-0213,block,341.3,2300,Premium SSD v2
stg-0493,srv-0214,block,128,500,Premium SSD P10
stg-0494,srv-0214,block,616.5,500,Premium SSD P20
stg-0495,srv-0215,block,128,500,Premium SSD P10
stg-0496,srv-0215,block,520.7,5000,Standard SSD E20
stg-0497,srv-0216,block,128,500,Premium SSD P10
stg-0498,srv-0216,block,215.2,5000,Ultra Disk
stg-0499,srv-0217,block,128,1100,Premium SSD P10
stg-0500,srv-0217,block,127.0,5000,Premium SSD v2
stg-0501,srv-0217,block,130.2,2300,Ultra Disk
stg-0502,srv-0218,block,128,2300,Premium SSD P10
stg-0503,srv-0218,block,70.2,500,Premium SSD P20
stg-0504,srv-0219,block,128,2300,Premium SSD P10
stg-0505,srv-0219,block,2047.5,2300,Premium SSD v2
stg-0506,srv-0220,block,128,500,Premium SSD P10
stg-0507,srv-0220,block,2089.7,2300,Standard SSD E20
stg-0508,srv-0221,block,128,2300,Premium SSD P10
stg-0509,srv-0221,block,226.7,5000,Premium SSD P20
stg-0510,srv-0222,block,128,2300,Premium SSD P10
stg-0511,srv-0223,block,128,1100,Premium SSD P10
stg-0512,srv-0223,block,763.9,2300,Standard SSD E20
stg-0513,srv-0224,block,128,500,Premium SSD P10
stg-0514,srv-0224,block,531.7,2300,Standard SSD E20
stg-0515,srv-0224,block,519.5,2300,Premium SSD P20
stg-0516,srv-0225,block,128,2300,Premium SSD P10
stg-0517,srv-0225,block,55.0,2300,Premium SSD v2
stg-0518,srv-0226,block,128,500,Premium SSD P10
stg-0519,srv-0227,block,128,1100,Premium SSD P10
stg-0520,srv-0228,block,128,1100,Premium SSD P10
stg-0521,srv-0228,block,278.0,5000,Ultra Disk
stg-0522,srv-0229,block,128,1100,Premium SSD P10
stg-0523,srv-0229,block,86.0,500,Ultra Disk
stg-0524,srv-0230,block,128,2300,Premium SSD P10
stg-0525,srv-0230,block,562.1,500,Standard SSD E20
stg-0526,srv-0231,block,128,1100,Premium SSD P10
stg-0527,srv-0232,block,128,500,Premium SSD P10
stg-0528,srv-0232,block,2183.5,500,Premium SSD P30
stg-0529,srv-0233,block,128,1100,Premium SSD P10
stg-0530,srv-0234,block,128,500,Premium SSD P10
stg-0531,srv-0234,block,61.1,2300,Premium SSD P20
stg-0532,srv-0235,block,128,1100,Premium SSD P10
stg-0533,srv-0235,block,356.5,2300,Ultra Disk
stg-0534,srv-0236,block,128,1100,Premium SSD P10
stg-0535,srv-0236,block,46.8,2300,Premium SSD P20
stg-0536,srv-0236,block,33.9,500,Premium SSD v2
stg-0537,srv-0237,block,128,2300,Premium SSD P10
stg-0538,srv-0238,block,128,500,Premium SSD P10
stg-0539,srv-0238,block,223.9,2300,Premium SSD P20
stg-0540,srv-0239,block,128,2300,Premium SSD P10
stg-0541,srv-0239,block,1816.7,1100,Premium SSD v2
stg-0542,srv-0240,block,128,1100,Premium SSD P10
stg-0543,srv-0240,block,891.2,500,Premium SSD P20
stg-0544,srv-0241,block,128,500,Premium SSD P10
stg-0545,srv-0241,block,105.2,500,Premium SSD v2
stg-0546,srv-0241,block,79.2,500,Standard SSD E20
stg-0547,srv-0242,block,128,1100,Premium SSD P10
stg-0548,srv-0242,block,95.2,5000,Ultra Disk
stg-0549,srv-0243,block,128,1100,Premium SSD P10
stg-0550,srv-0243,block,1569.1,1100,Ultra Disk
stg-0551,srv-0244,block,128,500,Premium SSD P10
stg-0552,srv-0244,block,35.4,500,Standard SSD E20
stg-0553,srv-0244,block,32,2300,Standard SSD E20
stg-0554,srv-0245,block,128,1100,Premium SSD P10
stg-0555,srv-0245,block,85.9,1100,Ultra Disk
stg-0556,srv-0246,block,128,1100,Premium SSD P10
stg-0557,srv-0246,block,318.4,2300,Premium SSD P30
stg-0558,srv-0247,block,128,1100,Premium SSD P10
stg-0559,srv-0247,block,78.7,5000,Premium SSD v2
stg-0560,srv-0247,block,99.3,5000,Premium SSD P20
stg-0561,srv-0248,block,128,1100,Premium SSD P10
stg-0562,srv-0248,block,115.5,1100,Ultra Disk
stg-0563,srv-0249,block,128,500,Premium SSD P10
stg-0564,srv-0249,block,1033.0,500,Premium SSD P30
stg-0565,srv-0249,block,899.1,500,Premium SSD P30
stg-0566,srv-0250,block,128,2300,Premium SSD P10
stg-0567,srv-0250,block,204.9,5000,Premium SSD P20
stg-0568,srv-0250,block,233.1,1100,Standard SSD E20
stg-0569,srv-0149,file,16384,3000,Azure NetApp Files
stg-0570,srv-0150,file,4096,5000,Azure NetApp Files
stg-0571,srv-0151,file,8192,3000,Azure Files Premium
stg-0572,srv-0152,file,2048,5000,Azure Files Premium
stg-0573,srv-0153,file,16384,5000,Azure Files Premium
